名稱,城市,類型,分齡,lat,lon,介紹,圖片網址,Unnamed: 8,時間戳記,城市(台北市、新北市...).1,詳細地址 ,類型(博物館、公園...).1,景點介紹.1,城市.1,類型.1,介紹.1
國立自然科學博物館,台中市,博物館,全齡,24.1533,120.6661,恐龍迷必訪，展示極具規模。,,,,,,,,,,
台中幻覺博物館,台中市,博物館,大童,25.0618953,121.5742332,有趣的視錯覺體驗，拍照效果十足。,,,,,,,,,,
高美濕地,台中市,戶外景點,全齡,24.3121,120.5508,漫步木棧道，觀察螃蟹與彈塗魚。,,,,,,,,,,
紙箱王創意園區,台中市,觀光工廠,全齡,24.1802,120.7328,連火車都是紙做的，創意十足。,,,,,,,,,,
文心森林公園(感官遊戲場),台中市,戶外公園,全齡,24.1465,120.6439,木製攀爬架與觸覺感官設施，鄰近捷運站。,,,,,,,,,,
黎新公園,台中市,戶外公園,大童,24.1524,120.6358,巨大的西瓜造型攀爬網，是台中近年最夯親子公園。,,,,,,,,,,
鰲峰山運動公園,台中市,戶外公園,大童,24.2701,120.5794,擁有大型星際塑體與極限挑戰區，適合國小以上。,,,,,,,,,,
台北市立動物園,台北市,動物園,全齡,24.9983,121.581,全台最大動物園，有熊貓、企鵝及熱帶雨林區。,,,,,,,,,,
台北兒童新樂園,台北市,主題樂園,全齡,25.097,121.5148,公營的遊樂園，票價親民設施豐富。,,,,,,,,,,
國立臺灣科學教育館,台北市,博物館,大童,25.0957,121.5163,互動式科學展覽與天空步道，寓教於樂。,,,,,,,,,,
台北天文館,台北市,博物館,大童,25.095,121.5175,體驗宇宙探險軌道車與IMAX星空劇場。,,,,,,,,,,
大佳河濱公園,台北市,戶外公園,幼童,25.0715,121.5367,擁有超大沙坑與夏季玩水設施，腹地廣大。,,,,,,,,,,
華山1914文創園區,台北市,文化園區,全齡,25.0441,121.5294,經常有親子展覽，大草皮適合跑跳。,,,,,,,,,,
天母夢想樂園,台北市,戶外公園,全齡,25.1152,121.5332,全台首座棒球主題滑梯，高達9公尺的管狀滑梯非常刺激。,,,,,,,,,,
大佳河濱公園海洋遊戲場,台北市,戶外公園,幼童,25.0715,121.5367,擁有超大挖土機沙坑與夏季玩水噴泉，腹地極廣。,,,,,,,,,,
初鹿牧場,台東縣,農場,全齡,22.8687,121.1145,廣大草皮與好喝鮮奶。,,,,,,,,,,
台東森林公園,台東縣,戶外公園,全齡,22.7594,121.1593,租單車騎向琵琶湖，美如畫。,,,,,,,,,,
台東生日蛋糕公園,台東縣,戶外公園,幼童,22.7594,121.1482,位於美術館旁，有三層蛋糕造型雕塑與溜滑梯。,,,,,,,,,,
奇美博物館,台南市,博物館,全齡,22.9348,120.2255,館外歐式花園跑跳，館內動物標本驚豔。,,,,,,,,,,
十鼓仁糖文創園區,台南市,文化園區,大童,22.9381,120.2289,糖廠老建築改建，極限挑戰設施多。,,,,,,,,,,
南瀛天文館,台南市,博物館,大童,23.1234,120.3644,南部觀星與宇宙知識殿堂。,,,,,,,,,,
港濱歷史公園(深海歷險趣),台南市,戶外公園,全齡,22.9961,120.1554,台南最大主題公園，噴漆彩色地坪與多變滑梯。,,,,,,,,,,
健康綠洲公園,台南市,戶外公園,大童,22.9785,120.1782,三層樓高的大飛船造型遊具，適合挑戰勇氣。,,,,,,,,,,
南元花園休閒農場,台南市,戶外公園,全齡,23.2358,120.3712,雖是農場但有超大林間遊戲場，親近自然。,,,,,,,,,,
遠雄海洋公園,花蓮縣,主題樂園,全齡,23.9015,121.6033,海獅表演與太平洋海景。,,,,,,,,,,
立川漁場,花蓮縣,農場,全齡,23.8641,121.5034,摸蜆仔兼洗褲，消暑有趣。,,,,,,,,,,
花蓮太平洋公園,花蓮縣,戶外公園,全齡,23.9712,121.6145,海景公園，有巨大的沙坑與海盜船設施。,,,,,,,,,,
宜蘭傳藝園區,宜蘭縣,文化園區,全齡,24.6865,121.8234,傳統藝術體驗與童玩街。,,,,,,,,,,
蠟藝蠟筆城堡,宜蘭縣,觀光工廠,全齡,24.6305,121.8329,超巨大蠟筆造型，動手做專屬彩筆。,,,,,,,,,,
蘭陽博物館,宜蘭縣,博物館,全齡,24.8624,121.8318,獨特建築外觀，了解宜蘭歷史。,,,,,,,,,,
宜蘭冬山車站遊戲場,宜蘭縣,戶外公園,幼童,24.6358,121.7915,位於高架鐵道下，雨天也能玩草皮滑梯。,,,,,,,,,,
頭城運動公園,宜蘭縣,戶外公園,全齡,24.8561,121.8212,全台首座彩虹土丘與蜂巢攀爬網。,,,,,,,,,,
苗栗尚順育樂世界,苗栗縣,主題樂園,大童,24.6896,120.9042,全室內遊樂場，有攀岩與VR設施。,,,,,,,,,,
飛牛牧場,苗栗縣,農場,全齡,24.4371,120.7225,餵牛羊、滾草皮，乳製品非常香濃。,,,,,,,,,,
